ID,Title,Section,Priority,Type,Estimate,References,Steps,Expected Result,Preconditions
TC-001,Criar Tarefa,API Backend,Critical,Functional,5m,,"1. Enviar POST para /tasks
2. Body: {""titulo"": ""Nova tarefa"", ""feito"": false}
3. Validar resposta","Status: 201 Created
Retorna: {id, titulo, feito}",API rodando em http://localhost:3000
TC-002,Listar Tarefas,API Backend,Critical,Functional,3m,,"1. Enviar GET para /tasks
2. Validar resposta","Status: 200 OK
Array de tarefas retornado","API rodando, tarefas cadastradas"
TC-003,Buscar Tarefa por ID,API Backend,High,Functional,3m,,"1. Enviar GET para /tasks/1
2. Validar resposta","Status: 200 OK
Tarefa específica retornada","API rodando, tarefa existe"
TC-004,Atualizar Tarefa,API Backend,High,Functional,5m,,"1. POST /tasks (criar)
2. PUT /tasks/1 com {""feito"": true}
3. Validar atualização","Status: 200 OK
Tarefa atualizada com sucesso","API rodando, tarefa existe"
TC-005,Deletar Tarefa,API Backend,High,Functional,3m,,"1. POST /tasks (criar)
2. DELETE /tasks/1
3. Validar remoção","Status: 200 ou 204
Tarefa removida do sistema","API rodando, tarefa existe"
TC-006,Criar sem Título,API Backend,High,Negative,3m,,"1. POST /tasks
2. Body: {""feito"": false} (sem titulo)","Status: 400 Bad Request
Erro: Título obrigatório",API rodando
TC-007,Buscar ID Inválido,API Backend,Medium,Negative,2m,,"1. GET /tasks/999999
2. Verificar resposta","Status: 404 Not Found
Mensagem de erro apropriada",API rodando
TC-010,Health Check,API Backend,High,Smoke,1m,,1. GET /health,"Status: 200 OK
{""status"": ""ok""}",API rodando
TC-013,Renderizar Lista,Frontend UI,Critical,UI,5m,,"1. Acessar localhost:5173
2. Aguardar carregamento
3. Verificar lista","Lista de tarefas visível
Dados carregados corretamente","Frontend e backend rodando"
TC-014,Criar via Interface,Frontend UI,Critical,UI,5m,,"1. Preencher campo input
2. Clicar em Adicionar
3. Verificar lista","Tarefa adicionada à lista
Campo limpo após criação",Aplicação rodando
TC-015,Marcar Concluída,Frontend UI,High,UI,3m,,"1. Clicar no checkbox
2. Verificar mudança visual","Checkbox marcado
Estilo visual alterado (riscado)","Aplicação rodando, tarefa existe"
TC-018,Responsivo Mobile,Frontend UI,High,UI,10m,,"1. Abrir em mobile (390x844)
2. Testar funcionalidades
3. Verificar layout","Layout adaptado
Touch events funcionando
Sem scroll horizontal",Aplicação rodando
TC-021,Smoke Test K6,Performance,Critical,Performance,5m,tests/performance/smoke-test.js,"1. k6 run smoke-test.js
2. Analisar resultados","1 VU por 1 minuto
p99 < 1000ms
Taxa erro < 1%","API rodando, K6 instalado"
TC-022,Load Test K6,Performance,Critical,Performance,15m,tests/performance/load-test.js,"1. k6 run load-test.js
2. Aguardar 3 minutos
3. Analisar métricas","10→50→100 VUs
p95 < 500ms
p99 < 1000ms
Taxa erro < 1%","API rodando, K6 instalado"
TC-023,Stress Test K6,Performance,Medium,Performance,30m,tests/performance/stress-test.js,"1. k6 run stress-test.js
2. Aguardar 20 minutos
3. Identificar limite","100→200→300 VUs
Identificar ponto de quebra
Documentar limites","API rodando, K6 instalado"
TC-024,Chrome Desktop,Cross-Browser,Critical,Compatibility,10m,,"1. Abrir Chrome 120 (Win 11)
2. Testar CRUD completo
3. Verificar layout","100% funcional
Layout correto
Performance adequada","BrowserStack ativo, app rodando"
TC-025,Firefox Desktop,Cross-Browser,High,Compatibility,10m,,"1. Abrir Firefox 121 (Win 11)
2. Testar funcionalidades
3. Verificar compatibilidade","100% compatível
Sem bugs visuais ou funcionais","BrowserStack ativo, app rodando"
TC-026,Safari Desktop,Cross-Browser,High,Compatibility,10m,,"1. Abrir Safari 17.2 (macOS)
2. Testar funcionalidades
3. Observar comportamento","95% compatível
Delay 500ms aceitável
BUG-001 documentado","BrowserStack ativo, app rodando"
TC-027,Chrome Mobile,Cross-Browser,High,Compatibility,10m,,"1. Chrome Mobile (Android 13)
2. Testar touch events
3. Verificar responsividade","100% compatível
Touch events OK
Layout mobile perfeito","BrowserStack ativo, app rodando"
TC-028,Safari Mobile,Cross-Browser,High,Compatibility,10m,,"1. Safari Mobile (iOS 17)
2. Testar em iPhone
3. Verificar funcionalidades","100% compatível
Teclado nativo OK
Safe area respeitada","BrowserStack ativo, app rodando"
TC-029,SQL Injection,Security,Critical,Security,15m,,"1. Injetar: ""; DROP TABLE tasks;--
2. Verificar sanitização
3. Validar proteção","Input sanitizado
Query maliciosa bloqueada
Sem execução de SQL",API rodando
TC-030,XSS Protection,Security,Critical,Security,10m,,"1. Inserir: <script>alert('XSS')</script>
2. Verificar execução
3. Validar escape","Script não executado
HTML escapado corretamente
Proteção XSS ativa",Aplicação rodando
TC-031,Scan Snyk,Security,High,Security,10m,,"1. Executar scan Snyk
2. Analisar relatório
3. Documentar vulnerabilidades","Vulnerabilidades identificadas
Severidades classificadas
Relatório gerado","Snyk configurado, GitHub conectado"
TC-032,Rate Limiting,Security,Medium,Security,10m,,"1. Enviar 100 requisições/segundo
2. Verificar throttling
3. Validar status code","Status 429 após limite
Rate limiting ativo
Proteção DDoS funcional",API rodando
